📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_205148/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
  📊 统计 [Ep 200]: Actor Loss=-34.2226, Critic Loss=241.4955, Alpha=0.4192, TD-error=15.8225, Beta=1.0000
    201      |    932.49    |    -49.77    |    -29.67    |      30      |  ✅ Success  
    202      |   -521.06    |    -7.92     |    -7.95     |      7       |  ❌ Failure  
    203      |    882.88    |    -49.33    |    -48.89    |      45      |  ✅ Success  
    204      |    299.13    |   -284.10    |   -321.60    |     244      |  ✅ Success  
    205      |    942.76    |    -28.48    |    -29.16    |      27      |  ✅ Success  
    206      |    914.89    |    -41.15    |    -35.18    |      34      |  ✅ Success  
    207      |    865.20    |    -80.35    |    -53.43    |      48      |  ✅ Success  
    208      |    828.31    |    -92.95    |    -82.18    |      75      |  ✅ Success  
    209      |    698.10    |   -142.91    |   -138.95    |     125      |  ✅ Success  
    210      |    534.39    |   -250.70    |   -200.53    |     139      |  ✅ Success  
  📊 统计 [Ep 210]: Actor Loss=-31.6708, Critic Loss=250.8438, Alpha=0.4668, TD-error=16.7521, Beta=1.0000
    211      |    912.40    |    -39.11    |    -40.82    |      36      |  ✅ Success  
    212      |    918.09    |    -45.72    |    -36.86    |      34      |  ✅ Success  
    213      |    882.78    |    -69.40    |    -50.54    |      46      |  ✅ Success  
    214      |    606.69    |   -146.55    |   -148.93    |     129      |  ✅ Success  
    215      |    501.60    |   -211.98    |   -244.78    |     186      |  ✅ Success  
    216      |    924.02    |    -36.54    |    -37.52    |      34      |  ✅ Success  
    217      |    908.98    |    -64.50    |    -41.27    |      39      |  ✅ Success  
    218      |    833.63    |    -78.27    |    -84.61    |      70      |  ✅ Success  
    219      |    863.61    |    -73.45    |    -74.40    |      68      |  ✅ Success  
    220      |    947.73    |    -25.75    |    -28.32    |      27      |  ✅ Success  
  📊 统计 [Ep 220]: Actor Loss=-47.7636, Critic Loss=306.9847, Alpha=0.4742, TD-error=18.8202, Beta=1.0000
    221      |    937.64    |    -31.33    |    -30.00    |      28      |  ✅ Success  
    222      |    932.50    |    -31.70    |    -31.86    |      30      |  ✅ Success  
    223      |    948.87    |    -25.13    |    -26.41    |      25      |  ✅ Success  
    224      |    902.02    |    -44.14    |    -45.34    |      39      |  ✅ Success  
    225      |    881.90    |    -49.02    |    -49.39    |      45      |  ✅ Success  
    226      |    936.88    |    -31.03    |    -30.56    |      29      |  ✅ Success  
    227      |    918.99    |    -34.06    |    -57.38    |      35      |  ✅ Success  
    228      |    881.23    |    -74.80    |    -64.74    |      62      |  ✅ Success  
    229      |    909.02    |    -51.85    |    -36.84    |      34      |  ✅ Success  
    230      |    892.79    |    -48.15    |    -46.03    |      41      |  ✅ Success  
  📊 统计 [Ep 230]: Actor Loss=-46.5338, Critic Loss=265.3723, Alpha=0.4963, TD-error=19.0868, Beta=1.0000
    231      |    909.45    |    -41.35    |    -38.06    |      38      |  ✅ Success  
    232      |    919.48    |    -37.71    |    -38.46    |      35      |  ✅ Success  
    233      |    896.44    |    -46.29    |    -47.76    |      42      |  ✅ Success  
    234      |    891.93    |    -51.78    |    -50.49    |      46      |  ✅ Success  
    235      |    904.18    |    -41.72    |    -46.87    |      40      |  ✅ Success  
    236      |    899.53    |    -44.18    |    -50.28    |      41      |  ✅ Success  
    237      |    937.50    |    -30.33    |    -32.55    |      29      |  ✅ Success  
    238      |    911.82    |    -37.47    |    -42.95    |      38      |  ✅ Success  
    239      |    840.12    |    -65.13    |    -68.14    |      58      |  ✅ Success  
    240      |    927.64    |    -32.60    |    -37.75    |      34      |  ✅ Success  
  📊 统计 [Ep 240]: Actor Loss=-40.7695, Critic Loss=266.9626, Alpha=0.5335, TD-error=18.8781, Beta=1.0000
    241      |    849.14    |    -70.58    |    -63.75    |      54      |  ✅ Success  
    242      |    893.75    |    -47.20    |    -48.94    |      41      |  ✅ Success  
    243      |    911.49    |    -39.34    |    -37.27    |      35      |  ✅ Success  
    244      |    889.04    |    -46.86    |    -52.59    |      43      |  ✅ Success  
    245      |    872.98    |    -51.15    |    -51.07    |      44      |  ✅ Success  
    246      |    879.31    |    -60.17    |    -48.77    |      44      |  ✅ Success  
    247      |    915.83    |    -39.96    |    -40.56    |      34      |  ✅ Success  
    248      |    948.77    |    -25.34    |    -25.29    |      24      |  ✅ Success  
    249      |    944.62    |    -28.52    |    -25.30    |      25      |  ✅ Success  
    250      |    928.34    |    -36.09    |    -36.21    |      34      |  ✅ Success  
  📊 统计 [Ep 250]: Actor Loss=-50.7202, Critic Loss=423.1503, Alpha=0.5684, TD-error=22.1126, Beta=1.0000
    251      |    938.38    |    -28.94    |    -29.69    |      27      |  ✅ Success  
    252      |    914.58    |    -38.85    |    -38.59    |      35      |  ✅ Success  
    253      |    909.41    |    -37.46    |    -40.70    |      35      |  ✅ Success  
    254      |    921.44    |    -37.02    |    -36.01    |      33      |  ✅ Success  
    255      |    934.22    |    -31.13    |    -31.48    |      29      |  ✅ Success  
    256      |    884.46    |    -59.18    |    -50.07    |      44      |  ✅ Success  
    257      |    893.84    |    -43.19    |    -45.57    |      40      |  ✅ Success  
    258      |    915.09    |    -38.27    |    -38.06    |      34      |  ✅ Success  
    259      |    944.66    |    -27.18    |    -25.73    |      24      |  ✅ Success  
    260      |    938.00    |    -27.24    |    -28.72    |      27      |  ✅ Success  
  📊 统计 [Ep 260]: Actor Loss=-62.6067, Critic Loss=498.4473, Alpha=0.6227, TD-error=25.2442, Beta=1.0000
    261      |    910.68    |    -41.80    |    -41.69    |      37      |  ✅ Success  
    262      |    918.72    |    -38.26    |    -36.78    |      34      |  ✅ Success  
    263      |    875.42    |    -70.01    |    -50.90    |      46      |  ✅ Success  
    264      |   -520.80    |    -7.97     |    -7.61     |      7       |  ❌ Failure  
    265      |    918.81    |    -35.86    |    -37.30    |      33      |  ✅ Success  
    266      |    922.48    |    -36.37    |    -37.17    |      33      |  ✅ Success  
    267      |    934.20    |    -33.74    |    -31.20    |      30      |  ✅ Success  
    268      |    953.15    |    -25.93    |    -21.21    |      24      |  ✅ Success  
    269      |    921.77    |    -34.61    |    -33.17    |      35      |  ✅ Success  
    270      |    896.21    |    -42.03    |    -50.72    |      38      |  ✅ Success  
  📊 统计 [Ep 270]: Actor Loss=-73.7037, Critic Loss=462.9183, Alpha=0.6949, TD-error=26.0466, Beta=1.0000
    271      |   -518.45    |    -6.57     |    -6.67     |      6       |  ❌ Failure  
    272      |    940.51    |    -31.00    |    -26.63    |      28      |  ✅ Success  
    273      |    909.11    |    -38.29    |    -39.08    |      35      |  ✅ Success  
    274      |    891.64    |    -47.65    |    -44.80    |      44      |  ✅ Success  
    275      |    933.29    |    -31.96    |    -31.33    |      30      |  ✅ Success  
