
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 3 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/training_20251025_160828.log
============================================================

Episode 150, Steps:   34, Total:  869.81, Leader:  914.21, [F0: -8.99, F1: -23.00, F2: -12.40] - ✓ success
Episode 151, Steps:   40, Total:  735.82, Leader:  843.96, [F0: -49.35, F1: -8.99, F2: -49.81] - ✓ success
Episode 152, Steps:   22, Total:  919.78, Leader:  945.35, [F0: -5.98, F1: 2.63, F2: -22.22] - ✓ success
Episode 153, Steps:   20, Total:  905.88, Leader:  951.94, [F0: -29.18, F1: -5.00, F2: -11.89] - ✓ success
Episode 154, Steps:   38, Total:  845.56, Leader:  893.25, [F0: -12.52, F1: -8.51, F2: -26.66] - ✓ success
Episode 155, Steps:  276, Total: -476.40, Leader:  -39.49, [F0: -166.04, F1: -100.52, F2: -170.35] - ✓ success
Episode 156, Steps:  121, Total:  546.65, Leader:  768.78, [F0: -71.23, F1: -31.91, F2: -118.99] - ✓ success
Episode 157, Steps:   21, Total:  918.64, Leader:  950.44, [F0: -2.87, F1: -11.47, F2: -17.47] - ✓ success
Episode 158, Steps:   54, Total:  731.11, Leader:  856.39, [F0: -29.28, F1: -32.85, F2: -63.15] - ✓ success
Episode 159, Steps:   25, Total:  940.00, Leader:  951.24, [F0: 2.84, F1: -7.31, F2: -6.77] - ✓ success
Episode 160, Steps:   44, Total:  817.36, Leader:  872.78, [F0: -15.29, F1: -15.16, F2: -24.98] - ✓ success
Episode 161, Steps:   98, Total:  417.23, Leader:  671.62, [F0: -49.26, F1: -89.93, F2: -115.21] - ✓ success
Episode 162, Steps:   24, Total:  925.33, Leader:  941.61, [F0: -7.67, F1: -11.02, F2: 2.41] - ✓ success
Episode 163, Steps:   74, Total:  686.90, Leader:  788.25, [F0: -43.48, F1: -29.45, F2: -28.43] - ✓ success
Episode 164, Steps:   36, Total:  833.19, Leader:  891.75, [F0: -20.92, F1: -19.51, F2: -18.13] - ✓ success
Episode 165, Steps:   25, Total:  899.83, Leader:  931.13, [F0: -15.33, F1: -5.50, F2: -10.47] - ✓ success
Episode 166, Steps:   83, Total:  524.99, Leader:  703.57, [F0: -43.32, F1: -60.69, F2: -74.57] - ✓ success
Episode 167, Steps:   53, Total:  809.06, Leader:  883.22, [F0: -16.70, F1: -30.84, F2: -26.61] - ✓ success
Episode 168, Steps:   50, Total:  808.46, Leader:  881.61, [F0: -14.52, F1: -23.29, F2: -35.34] - ✓ success
Episode 169, Steps:   33, Total:  908.01, Leader:  931.81, [F0: 5.57, F1: -7.63, F2: -21.74] - ✓ success
Episode 170, Steps:   30, Total:  871.43, Leader:  911.14, [F0: -14.27, F1: -14.94, F2: -10.50] - ✓ success
Episode 171, Steps:   30, Total:  856.42, Leader:  923.22, [F0: -15.39, F1: -13.14, F2: -38.27] - ✓ success
Episode 172, Steps:   89, Total:  445.70, Leader:  609.96, [F0: -46.21, F1: -57.96, F2: -60.10] - ✓ success
Episode 173, Steps:   48, Total:  760.57, Leader:  846.22, [F0: -25.61, F1: -12.46, F2: -47.58] - ✓ success
Episode 174, Steps:   24, Total:  916.69, Leader:  947.68, [F0: -22.15, F1: -4.50, F2: -4.34] - ✓ success
Episode 175, Steps:    6, Total: -533.90, Leader: -523.72, [F0: -4.12, F1: -2.88, F2: -3.19] - ✗ failure
Episode 176, Steps:   50, Total:  823.86, Leader:  899.45, [F0: -23.73, F1: -18.05, F2: -33.81] - ✓ success
Episode 177, Steps:   23, Total:  919.90, Leader:  940.57, [F0: -9.87, F1: -8.40, F2: -2.39] - ✓ success
Episode 178, Steps:   55, Total:  712.57, Leader:  836.98, [F0: -32.41, F1: -31.79, F2: -60.20] - ✓ success
Episode 179, Steps:   43, Total:  759.01, Leader:  874.57, [F0: -20.18, F1: -25.94, F2: -69.44] - ✓ success
Episode 180, Steps:   41, Total:  787.16, Leader:  886.52, [F0: -26.34, F1: -21.13, F2: -51.89] - ✓ success
Episode 181, Steps:   43, Total:  822.09, Leader:  888.15, [F0: -9.44, F1: -28.21, F2: -28.42] - ✓ success
Episode 182, Steps:   34, Total:  822.42, Leader:  907.26, [F0: -21.69, F1: -9.02, F2: -54.13] - ✓ success
Episode 183, Steps:   37, Total:  828.89, Leader:  896.05, [F0: 1.11, F1: -25.17, F2: -43.09] - ✓ success
Episode 184, Steps:   27, Total:  912.68, Leader:  929.53, [F0: -6.35, F1: -17.19, F2: 6.70] - ✓ success
Episode 185, Steps:   26, Total:  918.77, Leader:  933.44, [F0: 8.56, F1: -6.33, F2: -16.91] - ✓ success
Episode 186, Steps:   37, Total:  871.73, Leader:  907.25, [F0: -18.48, F1: -7.72, F2: -9.33] - ✓ success
Episode 187, Steps:    4, Total: -529.52, Leader: -520.06, [F0: -3.08, F1: -2.80, F2: -3.58] - ✗ failure
Episode 188, Steps:   56, Total:  680.16, Leader:  812.79, [F0: -59.80, F1: -33.14, F2: -39.68] - ✓ success
Episode 189, Steps:   64, Total:  623.11, Leader:  794.88, [F0: -48.28, F1: -28.40, F2: -95.09] - ✓ success
