
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 4 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
============================================================

Episode 121, Steps:  141, Total:   70.46, Leader:  492.66, [F0: -55.54, F1: -151.74, F2: -117.44, F3: -97.48] - ✓ success
Episode 122, Steps:    7, Total: -535.37, Leader: -529.14, [F0: -2.61, F1: 2.72, F2: -3.14, F3: -3.20] - ✗ failure
Episode 123, Steps:  184, Total:  256.57, Leader:  529.68, [F0: -86.91, F1: -60.78, F2: -27.22, F3: -98.20] - ✓ success
Episode 124, Steps:   39, Total:  863.54, Leader:  901.81, [F0: 0.56, F1: -6.12, F2: -16.60, F3: -16.11] - ✓ success
Episode 125, Steps:   92, Total:  762.58, Leader:  827.82, [F0: -12.45, F1: -22.89, F2: -6.58, F3: -23.33] - ✓ success
Episode 126, Steps:   38, Total:  842.16, Leader:  910.67, [F0: -5.82, F1: -7.19, F2: -21.99, F3: -33.50] - ✓ success
Episode 127, Steps:   44, Total:  726.08, Leader:  874.68, [F0: -17.09, F1: -15.83, F2: -32.37, F3: -83.30] - ✓ success
Episode 128, Steps:   63, Total:  867.90, Leader:  895.53, [F0: 8.04, F1: -12.68, F2: -31.89, F3: 8.90] - ✓ success
Episode 129, Steps:   84, Total:  211.58, Leader:  628.29, [F0: -30.04, F1: -207.44, F2: -137.19, F3: -42.04] - ✓ success
Episode 130, Steps:   61, Total:  693.39, Leader:  832.40, [F0: -25.45, F1: -39.61, F2: -30.20, F3: -43.75] - ✓ success
Episode 131, Steps:   44, Total:  826.23, Leader:  887.53, [F0: -10.46, F1: 2.13, F2: -39.19, F3: -13.79] - ✓ success
Episode 132, Steps:   42, Total:  866.38, Leader:  897.76, [F0: -4.00, F1: -4.05, F2: -16.55, F3: -6.78] - ✓ success
Episode 133, Steps:  129, Total:  376.70, Leader:  561.25, [F0: -37.17, F1: -41.29, F2: -63.67, F3: -42.42] - ✓ success
Episode 134, Steps:   64, Total:  641.26, Leader:  788.03, [F0: -25.99, F1: -30.11, F2: -50.76, F3: -39.90] - ✓ success
Episode 135, Steps:   34, Total:  831.27, Leader:  925.52, [F0: 10.12, F1: -26.27, F2: -45.59, F3: -32.51] - ✓ success
Episode 136, Steps:   62, Total:  717.48, Leader:  845.75, [F0: -19.59, F1: -11.67, F2: -33.42, F3: -63.59] - ✓ success
Episode 137, Steps:   15, Total: -637.99, Leader: -566.62, [F0: -10.56, F1: -27.33, F2: -24.10, F3: -9.38] - ✗ failure
Episode 138, Steps:   48, Total:  722.23, Leader:  859.11, [F0: -19.24, F1: -15.53, F2: -49.62, F3: -52.49] - ✓ success
Episode 139, Steps:  235, Total: -598.59, Leader:  -44.51, [F0: -138.92, F1: -120.59, F2: -183.18, F3: -111.38] - ✓ success
Episode 140, Steps:   42, Total:  833.56, Leader:  886.93, [F0: -6.37, F1: -10.13, F2: -29.85, F3: -7.02] - ✓ success
Episode 141, Steps:   46, Total:  780.89, Leader:  873.15, [F0: -7.79, F1: -11.45, F2: -31.09, F3: -41.93] - ✓ success
Episode 142, Steps:   75, Total: -1393.55, Leader: -953.21, [F0: -85.84, F1: -43.24, F2: -251.12, F3: -60.14] - ✗ failure
Episode 143, Steps:   98, Total:  523.52, Leader:  696.36, [F0: -47.28, F1: -39.09, F2: -38.03, F3: -48.45] - ✓ success
Episode 144, Steps:   53, Total:  775.73, Leader:  851.38, [F0: -15.98, F1: -12.53, F2: -32.74, F3: -14.39] - ✓ success
Episode 145, Steps:   41, Total:  867.06, Leader:  899.43, [F0: -1.57, F1: -18.18, F2: -16.49, F3: 3.86] - ✓ success
Episode 146, Steps:   65, Total:  639.35, Leader:  794.84, [F0: -33.65, F1: -46.65, F2: -33.35, F3: -41.83] - ✓ success
Episode 147, Steps:  151, Total: -1527.25, Leader: -1027.81, [F0: -90.64, F1: -85.79, F2: -137.96, F3: -185.05] - ✗ failure
Episode 148, Steps:   46, Total:  824.99, Leader:  882.28, [F0: -2.36, F1: -4.14, F2: -41.14, F3: -9.65] - ✓ success
Episode 149, Steps:  326, Total: -4125.17, Leader: -1259.89, [F0: -389.95, F1: -322.56, F2: -1042.33, F3: -1110.43] - ✓ success
Episode 150, Steps:  238, Total: -1714.45, Leader: -809.37, [F0: -308.47, F1: -135.75, F2: -281.67, F3: -179.19] - ✓ success
Episode 151, Steps:   98, Total:  547.79, Leader:  678.90, [F0: -29.71, F1: -26.43, F2: -50.93, F3: -24.04] - ✓ success
Episode 152, Steps:   46, Total:  838.74, Leader:  878.07, [F0: -9.26, F1: -6.45, F2: -18.26, F3: -5.36] - ✓ success
Episode 153, Steps:   57, Total:  649.96, Leader:  824.33, [F0: 24.01, F1: -33.55, F2: -19.92, F3: -144.91] - ✓ success
Episode 154, Steps:   89, Total:   43.22, Leader:  525.21, [F0: -55.33, F1: -65.64, F2: -105.99, F3: -255.03] - ✓ success
Episode 155, Steps:   57, Total:  733.21, Leader:  828.13, [F0: -17.98, F1: -11.94, F2: -33.63, F3: -31.37] - ✓ success
Episode 156, Steps:   53, Total:  787.19, Leader:  848.54, [F0: -8.94, F1: -5.76, F2: -36.50, F3: -10.15] - ✓ success
Episode 157, Steps:   39, Total:  871.99, Leader:  917.67, [F0: -16.15, F1: 2.34, F2: -22.50, F3: -9.38] - ✓ success
Episode 158, Steps:   56, Total:  708.30, Leader:  827.66, [F0: -17.22, F1: -33.14, F2: -50.50, F3: -18.51] - ✓ success
Episode 159, Steps:   42, Total:  793.66, Leader:  892.47, [F0: -14.68, F1: -15.97, F2: -58.79, F3: -9.37] - ✓ success
Episode 160, Steps:   45, Total:  759.35, Leader:  871.52, [F0: -14.66, F1: -13.01, F2: -70.04, F3: -14.46] - ✓ success
Episode 161, Steps:   69, Total:  649.74, Leader:  772.23, [F0: -23.97, F1: -24.11, F2: -38.31, F3: -36.10] - ✓ success
Episode 162, Steps:   52, Total:  737.20, Leader:  843.82, [F0: -12.53, F1: -13.72, F2: -61.43, F3: -18.93] - ✓ success
